"StuID","TotalAmt","LastUpdatedDate"
"40","5350","2013-05-11 00:00:00"
"41","4950","2013-05-11 00:00:00"
"42","4550","2013-05-11 00:00:00"
"43","4550","2013-05-11 00:00:00"
"44","1200","2013-05-11 00:00:00"
"45","1300","2013-05-11 00:00:00"
"46","4950","2013-05-14 00:00:00"
"47","4950","2013-05-14 00:00:00"
"48","900","2013-05-15 00:00:00"
"49","4550","2013-05-15 00:00:00"
"50","900","2013-05-17 00:00:00"
"51","4550","2013-05-17 00:00:00"
"52","4950","2013-05-20 00:00:00"
"53","900","2013-05-20 00:00:00"
"54","4950","2013-05-20 00:00:00"
"55","4550","2013-05-20 00:00:00"
"56","5450","2013-05-21 00:00:00"
"57","1200","2013-05-21 00:00:00"
"58","4950","2013-05-21 00:00:00"
"59","4250","2013-05-21 00:00:00"
"60","4900","2013-05-22 00:00:00"
"224","4550","2013-09-28 00:00:00"
"225","800","2013-09-28 00:00:00"
"226","5250","2013-09-30 00:00:00"
"227","4550","2013-09-30 00:00:00"
"228","700","2013-10-01 00:00:00"
"229","4950","2013-10-01 00:00:00"
"230","600","2013-10-02 00:00:00"
"231","800","2013-10-02 00:00:00"
"232","5250","2013-10-03 00:00:00"
"233","2100","2013-10-04 00:00:00"
"234","4950","2013-10-04 00:00:00"
"235","4950","2013-10-04 00:00:00"
"236","900","2013-10-04 00:00:00"
"237","900","2013-10-04 00:00:00"
"238","4550","2013-10-07 00:00:00"
"239","5250","2013-10-07 00:00:00"
"240","4550","2013-10-07 00:00:00"
"241","4250","2013-10-07 00:00:00"
"242","900","2013-10-08 00:00:00"
"243","0","2013-10-08 00:00:00"
"244","4550","2013-10-08 00:00:00"
"245","4250","2013-10-08 00:00:00"
"246","1000","2013-10-10 00:00:00"
"247","650","2013-10-10 00:00:00"
"248","4550","2013-10-10 00:00:00"
"249","900","2013-10-11 00:00:00"
"250","4950","2013-10-11 00:00:00"
"251","4950","2013-10-12 00:00:00"
"252","4250","2013-10-12 00:00:00"
"253","5250","2013-10-12 00:00:00"
"254","5250","2013-10-12 00:00:00"
"255","4550","2013-10-12 00:00:00"
"256","4550","2013-10-14 00:00:00"
"257","5250","2013-10-14 00:00:00"
"258","4950","2013-10-14 00:00:00"
"259","900","2013-10-14 00:00:00"
"260","900","2013-10-15 00:00:00"
"261","4550","2013-10-16 00:00:00"
"262","5250","2013-10-16 00:00:00"
"263","2700","2013-10-17 00:00:00"
"264","700","2013-10-17 00:00:00"
"265","800","2013-10-17 00:00:00"
"266","4550","2013-10-17 00:00:00"
"267","5250","2013-10-17 00:00:00"
"268","5250","2013-10-17 00:00:00"
"269","4550","2013-10-17 00:00:00"
"270","1200","2013-10-18 00:00:00"
"271","350","2013-10-18 00:00:00"
"272","5250","2013-10-18 00:00:00"
"273","5250","2013-10-18 00:00:00"
"274","650","2013-10-19 00:00:00"
"275","700","2013-10-19 00:00:00"
"276","700","2013-10-19 00:00:00"
"277","4950","2013-10-21 00:00:00"
"278","5250","2013-10-21 00:00:00"
"279","4550","2013-10-21 00:00:00"
"280","4250","2013-10-21 00:00:00"
"281","4950","2013-10-22 00:00:00"
"282","600","2013-10-22 00:00:00"
"283","1100","2013-10-22 00:00:00"
"284","4250","2013-10-22 00:00:00"
"285","4250","2013-10-22 00:00:00"
"286","1200","2013-10-23 00:00:00"
"287","600","2013-10-23 00:00:00"
"288","4550","2013-10-24 00:00:00"
"289","900","2013-10-25 00:00:00"
"290","850","2013-10-25 00:00:00"
"291","1100","2013-10-25 00:00:00"
"292","350","2013-10-26 00:00:00"
"293","850","2013-10-26 00:00:00"
"294","650","2013-10-26 00:00:00"
"295","750","2013-10-26 00:00:00"
"296","600","2013-10-26 00:00:00"
"297","850","2013-10-26 00:00:00"
"298","1400","2013-10-26 00:00:00"
"299","5250","2013-10-28 00:00:00"
"300","4250","2013-10-28 00:00:00"
"301","800","2013-10-28 00:00:00"
"302","4950","2013-10-28 00:00:00"
"303","2000","2013-10-28 00:00:00"
"304","4250","2013-10-28 00:00:00"
"305","4950","2013-10-29 00:00:00"
"306","650","2013-10-29 00:00:00"
"307","900","2013-10-29 00:00:00"
"308","4550","2013-10-30 00:00:00"
"309","4950","2013-10-30 00:00:00"
"310","4250","2013-10-30 00:00:00"
"311","600","2013-10-31 00:00:00"
"312","5250","2013-10-31 00:00:00"
"313","4250","2013-11-01 00:00:00"
"314","5650","2013-11-01 00:00:00"
"315","4250","2013-11-02 00:00:00"
"316","950","2013-11-02 00:00:00"
"317","900","2013-11-02 00:00:00"
"318","5250","2013-11-02 00:00:00"
"319","4550","2013-11-02 00:00:00"
"320","1000","2013-11-05 00:00:00"
"321","600","2013-11-05 00:00:00"
"322","3500","2013-11-05 00:00:00"
"323","650","2013-11-05 00:00:00"
"324","650","2013-11-05 00:00:00"
"325","5250","2013-11-06 00:00:00"
"326","5250","2013-11-06 00:00:00"
"327","4950","2013-11-06 00:00:00"
"328","900","2013-11-06 00:00:00"
"329","650","2013-11-06 00:00:00"
"330","4950","2013-11-09 00:00:00"
"331","5250","2013-11-09 00:00:00"
"332","4250","2013-11-09 00:00:00"
"333","4250","2013-11-09 00:00:00"
"334","2100","2013-11-09 00:00:00"
"335","900","2013-11-09 00:00:00"
"336","1200","2013-11-09 00:00:00"
"337","600","2013-11-09 00:00:00"
"338","600","2013-11-09 00:00:00"
"339","600","2013-11-09 00:00:00"
"340","600","2013-11-09 00:00:00"
"341","2000","2013-11-11 00:00:00"
"342","5200","2013-11-11 00:00:00"
"343","1800","2013-11-11 00:00:00"
"344","750","2013-11-11 00:00:00"
"345","1100","2013-11-11 00:00:00"
"346","900","2013-11-11 00:00:00"
"347","750","2013-11-11 00:00:00"
"348","1200","2013-11-11 00:00:00"
"349","4250","2013-11-11 00:00:00"
"350","5250","2013-11-12 00:00:00"
"351","1100","2013-11-12 00:00:00"
"352","5250","2013-11-12 00:00:00"
"353","950","2013-11-13 00:00:00"
"354","2200","2013-11-13 00:00:00"
"355","5000","2013-11-13 00:00:00"
"356","4950","2013-11-16 00:00:00"
"357","4250","2013-11-16 00:00:00"
"358","4250","2013-11-16 00:00:00"
"359","5250","2013-11-16 00:00:00"
"360","5250","2013-11-16 00:00:00"
"361","1200","2013-11-18 00:00:00"
"362","900","2013-11-18 00:00:00"
"363","900","2013-11-19 00:00:00"
"364","900","2013-11-22 00:00:00"
"365","4550","2013-11-22 00:00:00"
"366","4250","2013-11-22 00:00:00"
"367","5250","2013-11-23 00:00:00"
"368","5250","2013-11-23 00:00:00"
"369","4550","2013-11-23 00:00:00"
"370","900","2013-11-23 00:00:00"
"371","600","2013-11-23 00:00:00"
"372","650","2013-11-23 00:00:00"
"373","1200","2013-11-26 00:00:00"
"374","900","2013-11-26 00:00:00"
"375","5250","2013-11-26 00:00:00"
"376","1200","2013-11-26 00:00:00"
"377","1050","2013-11-26 00:00:00"
"378","850","2013-11-26 00:00:00"
"379","5250","2013-11-27 00:00:00"
"380","5250","2013-11-27 00:00:00"
"381","750","2013-11-27 00:00:00"
"382","5250","2013-11-27 00:00:00"
"383","650","2013-11-28 00:00:00"
"384","650","2013-11-28 00:00:00"
"385","5250","2013-11-30 00:00:00"
"386","2000","2013-11-30 00:00:00"
"1199","850","2014-08-19 00:00:00"
"1200","4700","2014-08-19 00:00:00"
"1201","2500","2014-08-19 00:00:00"
"1202","5500","2014-08-19 00:00:00"
"1203","4700","2014-08-19 00:00:00"
"1204","850","2014-08-19 00:00:00"
"1205","1300","2014-08-20 00:00:00"
"1206","1600","2014-08-20 00:00:00"
"1207","650","2014-08-20 00:00:00"
"1208","850","2014-08-20 00:00:00"
"1209","850","2014-08-20 00:00:00"
"1210","850","2014-08-20 00:00:00"
"1211","5200","2014-08-20 00:00:00"
"1212","1500","2014-08-20 00:00:00"
"1213","1200","2014-08-21 00:00:00"
"1214","5500","2014-08-21 00:00:00"
"1215","1200","2014-08-21 00:00:00"
"1216","5500","2014-08-22 00:00:00"
"1217","4700","2014-08-22 00:00:00"
"1218","850","2014-08-25 00:00:00"
"1219","850","2014-08-26 00:00:00"
"1220","5500","2014-08-26 00:00:00"
"1221","5500","2014-08-26 00:00:00"
"1222","4700","2014-08-26 00:00:00"
"1223","850","2014-08-27 00:00:00"
"1224","2500","2014-08-27 00:00:00"
"1225","850","2014-08-29 00:00:00"
"1226","850","2014-08-29 00:00:00"
"1227","1000","2014-08-29 00:00:00"
"1228","1000","2014-08-29 00:00:00"
"1229","5500","2014-08-29 00:00:00"
"1230","1000","2014-08-30 00:00:00"
"1231","2500","2014-09-01 00:00:00"
"1232","650","2014-09-01 00:00:00"
"1233","5500","2014-09-04 00:00:00"
"1234","1000","2014-09-04 00:00:00"
"1235","850","2014-09-04 00:00:00"
"1236","4700","2014-09-06 00:00:00"
"1237","5200","2014-09-06 00:00:00"
"1238","5200","2014-09-06 00:00:00"
"1239","4400","2014-09-08 00:00:00"
"1240","1200","2014-09-09 00:00:00"
"1241","950","2014-09-09 00:00:00"
"1242","1300","2014-09-11 00:00:00"
"1243","5200","2014-09-11 00:00:00"
"1244","5500","2014-09-11 00:00:00"
"1245","1000","2014-09-11 00:00:00"
"1246","5500","2014-09-11 00:00:00"
"1247","5500","2014-09-11 00:00:00"
"1248","5500","2014-09-11 00:00:00"
"1249","850","2014-09-13 00:00:00"
"1250","850","2014-09-13 00:00:00"
"1251","1400","2014-09-13 00:00:00"
"1252","5500","2014-09-15 00:00:00"
"1253","5200","2014-09-15 00:00:00"
"1254","1500","2014-09-15 00:00:00"
"1255","850","2014-09-15 00:00:00"
"1256","950","2014-09-15 00:00:00"
"1257","850","2014-09-15 00:00:00"
"1258","5200","2014-09-15 00:00:00"
"1259","850","2014-09-16 00:00:00"
"1260","1300","2014-09-19 00:00:00"
"1261","850","2014-09-19 00:00:00"
"1262","850","2014-09-19 00:00:00"
"1263","950","2014-09-19 00:00:00"
"1264","950","2014-09-19 00:00:00"
"1265","1000","2014-09-19 00:00:00"
"1266","650","2014-09-19 00:00:00"
"1267","950","2014-09-19 00:00:00"
"1268","2500","2014-09-19 00:00:00"
"1269","1200","2014-09-19 00:00:00"
"1270","4400","2014-09-19 00:00:00"
"1271","5500","2014-09-19 00:00:00"
"1272","4400","2014-09-19 00:00:00"
"1273","5200","2014-09-19 00:00:00"
"1274","3500","2014-09-19 00:00:00"
"1275","5500","2014-09-19 00:00:00"
"1276","4400","2014-09-19 00:00:00"
"1277","4400","2014-09-19 00:00:00"
"1278","4400","2014-09-19 00:00:00"
"1279","650","2014-09-19 00:00:00"
"1280","1300","2014-09-20 00:00:00"
"1281","1300","2014-09-20 00:00:00"
"1281","1300","2014-09-20 00:00:00"
"1282","850","2014-09-20 00:00:00"
"1283","1200","2014-09-20 00:00:00"
"1284","850","2014-09-20 00:00:00"
"1285","4700","2014-09-20 00:00:00"
"1286","1","2014-09-20 00:00:00"
"1287","0","2014-09-20 00:00:00"
"1288","4700","2014-09-20 00:00:00"
"1289","1000","2014-09-20 00:00:00"
"1290","650","2014-09-22 00:00:00"
"1291","1500","2014-09-22 00:00:00"
"1292","5200","2014-09-23 00:00:00"
"1293","850","2014-09-23 00:00:00"
"1294","1200","2014-09-24 00:00:00"
"1295","950","2014-09-24 00:00:00"
"1296","4400","2014-09-24 00:00:00"
"1297","1000","2014-09-24 00:00:00"
"1298","4400","2014-09-25 00:00:00"
"1299","1500","2014-09-27 00:00:00"
"1300","950","2014-09-27 00:00:00"
"1301","1000","2014-09-27 00:00:00"
"1302","950","2014-09-27 00:00:00"
"1303","650","2014-09-30 00:00:00"
"1304","950","2014-09-30 00:00:00"
"1305","1500","2014-09-30 00:00:00"
"1306","4400","2014-09-30 00:00:00"
"1307","5200","2014-09-30 00:00:00"
"1308","4400","2014-09-30 00:00:00"
"1309","1","2014-09-30 00:00:00"
"1310","5200","2014-10-02 00:00:00"
"1311","4700","2014-10-02 00:00:00"
"1312","4700","2014-10-02 00:00:00"
"1313","2500","2014-10-02 00:00:00"
"1314","1000","2014-10-02 00:00:00"
"1315","4400","2014-10-03 00:00:00"
"1316","4700","2014-10-03 00:00:00"
"1317","1000","2014-10-04 00:00:00"
"1318","4400","2014-10-06 00:00:00"
"1319","4700","2014-10-06 00:00:00"
"1320","2500","2014-10-06 00:00:00"
"1321","850","2014-10-09 00:00:00"
"1322","1300","2014-10-09 00:00:00"
"1323","5500","2014-10-09 00:00:00"
"1324","5500","2014-10-09 00:00:00"
"1325","4700","2014-10-09 00:00:00"
"1326","4700","2014-10-09 00:00:00"
"1327","4700","2014-10-10 00:00:00"
"1328","650","2014-10-11 00:00:00"
"1329","850","2014-10-11 00:00:00"
"1330","4700","2014-10-11 00:00:00"
"1331","4400","2014-10-13 00:00:00"
"1332","4700","2014-10-13 00:00:00"
"1333","5200","2014-10-13 00:00:00"
"1334","5200","2014-10-13 00:00:00"
"1335","4400","2014-10-13 00:00:00"
"1336","4400","2014-10-13 00:00:00"
"1337","4700","2014-10-13 00:00:00"
"1338","5200","2014-10-13 00:00:00"
"1339","4700","2014-10-13 00:00:00"
"1340","4400","2014-10-13 00:00:00"
"1341","1000","2014-10-13 00:00:00"
"1342","1300","2014-10-14 00:00:00"
"1343","850","2014-10-14 00:00:00"
"1344","1000","2014-10-14 00:00:00"
"1345","850","2014-10-14 00:00:00"
"1346","1300","2014-10-15 00:00:00"
"1347","4400","2014-10-15 00:00:00"
"1348","5500","2014-10-15 00:00:00"
"1349","5500","2014-10-16 00:00:00"
"1350","2500","2014-10-16 00:00:00"
"1351","5200","2014-10-16 00:00:00"
"1352","4700","2014-10-17 00:00:00"
"1353","4700","2014-10-17 00:00:00"
"1354","2500","2014-10-17 00:00:00"
"1355","1500","2014-10-17 00:00:00"
"1356","5200","2014-10-17 00:00:00"
"1357","850","2014-10-18 00:00:00"
"1358","1400","2014-10-18 00:00:00"
"1359","850","2014-10-18 00:00:00"
"1360","1300","2014-10-18 00:00:00"
"387","4950","2013-12-02 00:00:00"
"388","1000","2013-12-02 00:00:00"
"389","600","2013-12-02 00:00:00"
"390","950","2013-12-03 00:00:00"
"391","750","2013-12-03 00:00:00"
"392","4250","2013-12-03 00:00:00"
"393","4950","2013-12-03 00:00:00"
"394","4550","2013-12-03 00:00:00"
"395","1400","2013-12-04 00:00:00"
"396","850","2013-12-04 00:00:00"
"397","750","2013-12-04 00:00:00"
"398","600","2013-12-04 00:00:00"
"399","600","2013-12-04 00:00:00"
"400","1200","2013-12-04 00:00:00"
"401","900","2013-12-04 00:00:00"
"402","5250","2013-12-04 00:00:00"
"403","5250","2013-12-04 00:00:00"
"404","5250","2013-12-04 00:00:00"
"405","4950","2013-12-04 00:00:00"
"406","4950","2013-12-04 00:00:00"
"407","600","2013-12-05 00:00:00"
"408","600","2013-12-05 00:00:00"
"409","600","2013-12-05 00:00:00"
"410","4550","2013-12-05 00:00:00"
"411","650","2013-12-05 00:00:00"
"412","4950","2013-12-06 00:00:00"
"413","900","2013-12-07 00:00:00"
"414","5250","2013-12-07 00:00:00"
"415","600","2013-12-09 00:00:00"
"416","850","2013-12-09 00:00:00"
"417","5250","2013-12-09 00:00:00"
"418","600","2013-12-09 00:00:00"
