"StuID","Reason","LastUpdatedDate"
"1206","CSC + REN + C.O.A","2014-08-20 00:00:00"
"1207","CSC","2014-08-20 00:00:00"
"1208","CSC + REN","2014-08-20 00:00:00"
"1209","CSC + REN","2014-08-20 00:00:00"
"1210","CSC + REN","2014-08-20 00:00:00"
"1213","CSC + REN","2014-08-21 00:00:00"
"1215","CSC + COA + REN","2014-08-21 00:00:00"
"1218","CSC + REN","2014-08-25 00:00:00"
"1219","CSC + REN","2014-08-26 00:00:00"
"1223","CSC + REN","2014-08-27 00:00:00"
"1225","CSC + REN","2014-08-29 00:00:00"
"1226","CSC + REN","2014-08-29 00:00:00"
"1232","CSC","2014-09-01 00:00:00"
"1235","CSC + REN","2014-09-04 00:00:00"
"1240","CSC + REN","2014-09-09 00:00:00"
"1241","CSC + REN","2014-09-09 00:00:00"
"1242","CSC + COA + REN","2014-09-11 00:00:00"
"1249","CSC +REN","2014-09-13 00:00:00"
"1250","CSC + REN","2014-09-13 00:00:00"
"1251","CSC + COA+ REN","2014-09-13 00:00:00"
"1255","CSC + REN","2014-09-15 00:00:00"
"1256","CSC + REN","2014-09-15 00:00:00"
"1257","CSC + REN","2014-09-15 00:00:00"
"1259","CSC + REN","2014-09-16 00:00:00"
"1260","CSC + REN ","2014-09-19 00:00:00"
"1261","CSC + REN","2014-09-19 00:00:00"
"1262","CSC + REN","2014-09-20 00:00:00"
"1263","CSC + REN","2014-09-19 00:00:00"
"1264","CSC + REN","2014-09-19 00:00:00"
"1266","CSC","2014-09-19 00:00:00"
"1267","CSC+ REN","2014-09-19 00:00:00"
"1279","CSC","2014-09-19 00:00:00"
"1280","CSC+ REN + COA","2014-09-20 00:00:00"
"1281","CSC + REN + COA","2014-09-20 00:00:00"
"1282","CSC + REN","2014-09-20 00:00:00"
"1283","CSC + REN","2014-09-20 00:00:00"
"1284","CSC + REN","2014-09-20 00:00:00"
"1286","CSC+ REN","2014-09-20 00:00:00"
