"CarFuleID","CarID","CarName","FuleDT","StartKM","CloseKM","FuleType","FuleAmt","FuleQty"
"120","3","3 - WAGON-R","December2015","86021","87675","CNG","5000","31"
"121","4","4 - HYUNDAI- I 10","December2015","67584","67735","CNG","0","31"
"122","5","5 - HYUNDAI ACCENT","December2015","93358","95270","CNG","4600","31"
"123","2","2 - SWIFT DZIRE","January2016","111612","114147","CNG","4810","32"
"124","3","3 - WAGON-R","January2016","87676","89262","CNG","4750","32"
"125","4","4 - HYUNDAI- I 10","January2016","67736","67853","CNG","650","32"
"126","5","5 - HYUNDAI ACCENT","January2016","95271","97208","CNG","4790","32"
"127","2","2 - SWIFT DZIRE","February2016","114148","116332","CNG","4500","33"
"128","3","3 - WAGON-R","February2016","89263","90584","CNG","3930","33"
"129","4","4 - HYUNDAI- I 10","February2016","67854","67937","CNG","0","33"
"130","5","5 - HYUNDAI ACCENT","February2016","97209","98873","CNG","4570","33"
"131","2","2 - SWIFT DZIRE","March2016","116333","119105","CNG","5000","34"
"132","3","3 - WAGON-R","March2016","90585","91561","CNG","2500","34"
"133","4","4 - HYUNDAI- I 10","March2016","67938","67965","CNG","0","34"
"134","5","5 - HYUNDAI ACCENT","March2016","98874","100308","CNG","3500","34"
"135","2","2 - SWIFT DZIRE","April2016","119106","121266","CNG","5000","35"
"136","3","3 - WAGON-R","April2016","91562","93170","CNG","4000","35"
"137","4","4 - HYUNDAI- I 10","April2016","67966","68009","CNG","0","35"
"138","5","5 - HYUNDAI ACCENT","April2016","100309","102045","CNG","5000","35"
"139","2","2 - SWIFT DZIRE","May2016","121266","123357","CNG","5000","36"
"140","3","3 - WAGON-R","May2016","93170","95325","CNG","5000","36"
"141","4","4 - HYUNDAI- I 10","May2016","68009","68067","CNG","0","36"
"142","5","5 - HYUNDAI ACCENT","May2016","102045","104612","CNG","5000","36"
"143","2","2 - SWIFT DZIRE","June2016","123358","124957","CNG","4500","37"
"144","3","3 - WAGON-R","June2016","95326","96781","CNG","4500","37"
"145","4","4 - HYUNDAI- I 10","June2016","68068","68826","CNG","3000","37"
"146","5","5 - HYUNDAI ACCENT","June2016","104613","106151","CNG","3000","37"
"147","2","2 - SWIFT DZIRE","July2016","124957","126167","CNG","4500","38"
"148","3","3 - WAGON-R","July2016","96781","98929","CNG","4000","38"
"149","4","4 - HYUNDAI- I 10","July2016","68826","69942","CNG","3000","38"
"150","5","5 - HYUNDAI ACCENT","July2016","106151","107299","CNG","3500","38"
"151","2","2 - SWIFT DZIRE","August2016","126168","127194","CNG","4500","39"
"152","3","3 - WAGON-R","August2016","98930","100016","CNG","4000","39"
"153","4","4 - HYUNDAI- I 10","August2016","69943","70712","CNG","2750","39"
"154","5","5 - HYUNDAI ACCENT","August2016","107300","108311","CNG","3750","39"
"155","2","2 - SWIFT DZIRE","September2016","127195","128053","CNG","3300","40"
"156","3","3 - WAGON-R","September2016","100017","100975","CNG","2500","40"
"157","4","4 - HYUNDAI- I 10","September2016","70713","71656","CNG","3200","40"
"158","5","5 - HYUNDAI ACCENT","September2016","108312","108769","CNG","1000","40"
"159","2","2 - SWIFT DZIRE","October2016","128054","129432","CNG","3400","41"
"160","3","3 - WAGON-R","October2016","100976","101929","CNG","2500","41"
"161","4","4 - HYUNDAI- I 10","October2016","71657","72598","CNG","2300","41"
"162","5","5 - HYUNDAI ACCENT","October2016","108770","109323","CNG","1800","41"
"163","2","2 - SWIFT DZIRE","November2016","129433","131076","CNG","4500","42"
"164","3","3 - WAGON-R","November2016","101930","103504","CNG","3500","42"
"165","4","4 - HYUNDAI- I 10","November2016","72599","74097","CNG","4000","42"
"166","5","5 - HYUNDAI ACCENT","November2016","109324","109348","CNG","0","42"
"167","2","2 - SWIFT DZIRE","December2016","131077","133083","CNG","4650","43"
"168","3","3 - WAGON-R","December2016","103505","105566","CNG","4050","43"
"169","4","4 - HYUNDAI- I 10","December2016","74098","75561","CNG","4250","43"
"170","5","5 - HYUNDAI ACCENT","December2016","109349","110275","CNG","2050","43"
"171","2","2 - SWIFT DZIRE","January2017","133083","134494","CNG","5000","44"
"172","3","3 - WAGON-R","January2017","105567","106670","CNG","3500","44"
"173","4","4 - HYUNDAI- I 10","January2017","75562","76370","CNG","3500","44"
"174","5","5 - HYUNDAI ACCENT","January2017","110276","111697","CNG","3000","44"
"175","2","2 - SWIFT DZIRE","February2017","134495","136316","CNG","4200","45"
"176","3","3 - WAGON-R","February2017","106671","107751","CNG","4100","45"
"177","4","4 - HYUNDAI- I 10","February2017","76371","77037","CNG","2500","45"
"178","5","5 - HYUNDAI ACCENT","February2017","111698","112969","CNG","4200","45"
"179","2","2 - SWIFT DZIRE","March2017","136317","137744","CNG","4500","46"
"180","3","3 - WAGON-R","March2017","107752","108422","CNG","4000","46"
"181","4","4 - HYUNDAI- I 10","March2017","77038","77124","CNG","1300","46"
"182","5","5 - HYUNDAI ACCENT","March2017","112970","114011","CNG","4200","46"
"183","2","2 - SWIFT DZIRE","April2017","137745","139272","CNG","4500","47"
"184","3","3 - WAGON-R","April2017","108423","108976","CNG","4000","47"
"185","4","4 - HYUNDAI- I 10","April2017","77125","77540","CNG","3000","47"
"186","5","5 - HYUNDAI ACCENT","April2017","114012","115316","CNG","3500","47"
"187","2","2 - SWIFT DZIRE","May2017","139273","141222","CNG","4000","48"
"188","3","3 - WAGON-R","May2017","108977","109717","CNG","3500","48"
"189","4","4 - HYUNDAI- I 10","May2017","77541","77603","CNG","500","48"
"190","5","5 - HYUNDAI ACCENT","May2017","115317","116697","CNG","4000","48"
"191","2","2 - SWIFT DZIRE","June2017","141223","142627","CNG","4500","49"
"192","3","3 - WAGON-R","June2017","109718","110569","CNG","3500","49"
"193","4","4 - HYUNDAI- I 10","June2017","77604","77630","CNG","500","49"
"194","5","5 - HYUNDAI ACCENT","June2017","116698","117764","CNG","3500","49"
"195","2","2 - SWIFT DZIRE","July2017","142628","144931","CNG","4500","50"
"196","3","3 - WAGON-R","July2017","110570","112111","CNG","3500","50"
"197","4","4 - HYUNDAI- I 10","July2017","77631","78446","CNG","3000","50"
"198","5","5 - HYUNDAI ACCENT","July2017","117765","119154","CNG","4000","50"
"199","2","2 - SWIFT DZIRE","August2017","144932","145694","CNG","3500","51"
"200","3","3 - WAGON-R","August2017","112112","113023","CNG","2000","51"
"201","4","4 - HYUNDAI- I 10","August2017","78447","79000","CNG","2500","51"
"202","5","5 - HYUNDAI ACCENT","August2017","119155","119700","CNG","1500","51"
"203","2","2 - SWIFT DZIRE","September2017","145695","147197","CNG","3500","52"
"204","3","3 - WAGON-R","September2017","113024","113899","CNG","2500","52"
"205","4","4 - HYUNDAI- I 10","September2017","79001","79879","CNG","3000","52"
"206","5","5 - HYUNDAI ACCENT","September2017","119701","120254","CNG","2000","52"
"207","2","2 - SWIFT DZIRE","October2017","147198","148132","CNG","4000","53"
"208","3","3 - WAGON-R","October2017","113900","114727","CNG","3800","53"
"209","4","4 - HYUNDAI- I 10","October2017","79880","80684","CNG","2700","53"
"210","5","5 - HYUNDAI ACCENT","October2017","120255","120542","CNG","2000","53"
"211","2","2 - SWIFT DZIRE","November2017","148133","149707","CNG","4500","54"
"212","3","3 - WAGON-R","November2017","114728","116098","CNG","3500","54"
"213","4","4 - HYUNDAI- I 10","November2017","80685","81977","CNG","4000","54"
"214","5","5 - HYUNDAI ACCENT","November2017","120543","120752","CNG","3000","54"
"215","2","2 - SWIFT DZIRE","December2017","149708","151157","CNG","4500","55"
"216","3","3 - WAGON-R","December2017","116099","117365","CNG","4000","55"
"217","4","4 - HYUNDAI- I 10","December2017","81978","83055","CNG","3500","55"
"218","2","2 - SWIFT DZIRE","January2018","151158","152580","CNG","4200","56"
"219","3","3 - WAGON-R","January2018","116100","118610","CNG","2800","56"
"220","4","4 - HYUNDAI- I 10","January2018","83056","83856","CNG","3000","56"
"221","2","2 - SWIFT DZIRE","February2018","152581","154478","CNG","3500","57"
"222","3","3 - WAGON-R","February2018","118611","119561","CNG","2500","57"
"223","4","4 - HYUNDAI- I 10","February2018","83857","84691","CNG","2000","57"
"224","2","2 - SWIFT DZIRE","March2018","154479","155478","CNG","3500","58"
"225","3","3 - WAGON-R","March2018","119562","120561","CNG","2500","58"
"226","4","4 - HYUNDAI- I 10","March2018","84692","85691","CNG","1500","58"
"227","2","2 - SWIFT DZIRE","April2018","155479","156479","CNG","4000","59"
"228","3","3 - WAGON-R","April2018","120562","121562","CNG","3800","59"
"229","4","4 - HYUNDAI- I 10","April2018","85692","85892","CNG","900","59"
"230","2","2 - SWIFT DZIRE","May2018","157740","159199","CNG","7500","60"
"231","3","3 - WAGON-R","May2018","122391","123516","CNG","6400","60"
"232","4","4 - HYUNDAI- I 10","May2018","85128","85522","CNG","1600","60"
"233","2","2 - SWIFT DZIRE","June2018","159200","161335","CNG","5300","61"
"234","3","3 - WAGON-R","June2018","123517","125444","CNG","4700","61"
"235","4","4 - HYUNDAI- I 10","June2018","85523","86879","CNG","4000","61"
"236","2","2 - SWIFT DZIRE","July2018","161335","162965","CNG","4500","62"
"237","3","3 - WAGON-R","July2018","125445","126713","CNG","4000","62"
"238","4","4 - HYUNDAI- I 10","July2018","86880","88449","CNG","3500","62"
"239","2","2 - SWIFT DZIRE","August2018","162966","164514","CNG","5500","63"
"240","3","3 - WAGON-R","August2018","126714","127788","CNG","5000","63"
"241","4","4 - HYUNDAI- I 10","August2018","88450","89396","CNG","4500","63"
"242","2","2 - SWIFT DZIRE","September2018","164515","165504","CNG","5500","64"
"243","3","3 - WAGON-R","September2018","127789","129166","CNG","4500","64"
"244","4","4 - HYUNDAI- I 10","September2018","89397","90405","CNG","3500","64"
"245","2","2 - SWIFT DZIRE","October2018","165505","167833","CNG","5700","65"
"246","3","3 - WAGON-R","October2018","129167","131256","CNG","4700","65"
"247","4","4 - HYUNDAI- I 10","October2018","90406","91625","CNG","5000","65"
"248","2","2 - SWIFT DZIRE","November2018","167834","169513","CNG","5300","66"
"249","3","3 - WAGON-R","November2018","131257","132116","CNG","4500","66"
"250","4","4 - HYUNDAI- I 10","November2018","91626","92261","CNG","5000","66"
"251","2","2 - SWIFT DZIRE","December2018","169514","171264","CNG","5500","67"
"252","3","3 - WAGON-R","December2018","132117","133617","CNG","5000","67"
"253","4","4 - HYUNDAI- I 10","December2018","92262","93662","CNG","4800","67"
"254","2","2 - SWIFT DZIRE","January2019","171265","173220","CNG","5800","68"
"255","3","3 - WAGON-R","January2019","133618","133772","CNG","5500","68"
"256","4","4 - HYUNDAI- I 10","January2019","93663","94137","CNG","5000","68"
"257","2","2 - SWIFT DZIRE","February2019","173221","175149","CNG","4800","69"
"258","3","3 - WAGON-R","February2019","133773","135190","CNG","4500","69"
"259","4","4 - HYUNDAI- I 10","February2019","94138","94759","CNG","4300","69"
"260","2","2 - SWIFT DZIRE","March2019","175150","176220","CNG","5200","70"
"261","3","3 - WAGON-R","March2019","135191","136065","CNG","4800","70"
"262","4","4 - HYUNDAI- I 10","March2019","94760","95528","CNG","5000","70"
"263","2","2 - SWIFT DZIRE","April2019","176221","177489","CNG","5500","71"
"264","3","3 - WAGON-R","April2019","136066","136995","CNG","5300","71"
"265","4","4 - HYUNDAI- I 10","April2019","95529","96054","CNG","4500","71"
"266","2","2 - SWIFT DZIRE","May2019","177490","179107","CNG","6000","72"
"267","3","3 - WAGON-R","May2019","136996","137939","CNG","5500","72"
"268","4","4 - HYUNDAI- I 10","May2019","96055","97094","CNG","5000","72"
"269","2","2 - SWIFT DZIRE","June2019","179108","180467","CNG","6600","73"
"270","3","3 - WAGON-R","June2019","137940","138935","CNG","6600","73"
"271","4","4 - HYUNDAI- I 10","June2019","97095","98081","CNG","6200","73"
"272","2","2 - SWIFT DZIRE","July2019","180468","182141","CNG","7600","74"
"273","3","3 - WAGON-R","July2019","138936","139969","CNG","7000","74"
"274","4","4 - HYUNDAI- I 10","July2019","98082","99037","CNG","6600","74"
"275","2","2 - SWIFT DZIRE","August2019","182142","183242","CNG","6500","75"
"276","3","3 - WAGON-R","August2019","139970","140470","CNG","6000","75"
"277","4","4 - HYUNDAI- I 10","August2019","99038","99538","CNG","5500","75"
"278","2","2 - SWIFT DZIRE","September2019","183243","184243","CNG","7000","76"
"279","3","3 - WAGON-R","September2019","140471","141221","CNG","6500","76"
"280","4","4 - HYUNDAI- I 10","September2019","99539","99939","CNG","6200","76"
"281","2","2 - SWIFT DZIRE","October2019","184244","185863","CNG","7000","77"
"282","3","3 - WAGON-R","October2019","141222","142056","CNG","6800","77"
"283","4","4 - HYUNDAI- I 10","October2019","99940","100391","CNG","6000","77"
"284","2","2 - SWIFT DZIRE","November2019","185864","187909","CNG","6500","78"
"285","3","3 - WAGON-R","November2019","142057","143260","CNG","6000","78"
"286","4","4 - HYUNDAI- I 10","November2019","100392","101453","CNG","6500","78"
"287","2","2 - SWIFT DZIRE","December2019","187910","189388","CNG","7000","79"
"288","3","3 - WAGON-R","December2019","143261","143997","CNG","6500","79"
"289","4","4 - HYUNDAI- I 10","December2019","101454","101998","CNG","6800","79"
"290","2","2 - SWIFT DZIRE","January2020","189389","190369","CNG","7000","80"
